origin_store_name,origin_loccode,Origin Lat Long,destination_store_name,destination_loccode,DH Lat Long,GH_Distance_km,GH_Travel_Time_mins
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-Whitefield Network-2,BLR098S,"12.9718703612,77.7349202021",27.7972086,33.44633333
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-Bommasandra,BLR024S,"12.8321446,77.69085963",46.7926599,61.1340625
BLR-DRY-MH-SUMADHURA,BLR142M,"13.14193, 77.86832",BLR-Budigere Cross,BLR027S,"13.063784,77.741966",21.4719225,27.73589583
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-Chandapura,BLR152S,"12.78979486,77.70420581",50.0170713,62.89245833
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-CV Raman Nagar Network,BLR016S,"12.996864,77.673218",28.33454505,32.48579167
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-Neo Town,BLR184S,"12.81998463,77.66277018",52.7452527,68.89752083
BLR-DRY-MH-SUMADHURA,BLR142M,"13.14193, 77.86832",BLR-Seegehalli,BLR238S,"13.019792,77.724615",24.16877715,31.03225
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-Choodasandra,BLR121S,"12.8821174,77.6733285",44.33460045,55.57004167
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-Junnasandra,BLR223S,"12.90252,77.68669",40.3748247,51.07214583
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-Sarjapur New,BLR237S,"12.90853465,77.67692834",41.113842,51.2935625
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-Singasandra Network,BLR062S,"12.86296,77.67777",45.51446445,59.13360417
BLR-DRY-MH-SUMADHURA,BLR142M,"13.14193, 77.86832",BLR-Marathahalli-3,BLR103S,"12.96160746,77.70483424",34.45309665,44.00308333
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-TMC Layout,BLR256S,"12.91025,77.58977",44.6630142,54.29075
BLR-DRY-MH-SUMADHURA,BLR142M,"13.14193, 77.86832",BLR-Sattava East,BLR137S,"13.02716623,77.74726407",21.34699875,27.915
BLR-MYLAPURA MH,BLR005M,"13.108296, 77.876687",BLR-Electronic City Network-2,BLR146S,"12.85202043,77.65224877",51.7765647,62.9626875
