Origin_DH,Origin_Code,Dest_DH,Dest_Code,Distance_km,Time_mins
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Banashankari New,BLR041S,45.9178986,57.091458333333335
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Richmond Town Network,BLR296S,37.37021715,46.139687499999994
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-BTM LAYOUT NEW,BLR036S,41.747748,49.1055
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Ramamurthy Nagar Network,BLR071S,30.5218599,36.638645833333335
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Jayanagar 9th block,BLR307S,42.4731258,51.6025625
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Malleshwaram new,BLR045S,43.34734635,52.05414583333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Marathahalli 2,BLR023S,33.176143350000004,41.1308125
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-BASAVANAPURA NETWORK 2,BLR104S,22.7932341,26.939479166666665
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Devanahalli,BLR149S,30.3585786,32.364000000000004
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-RWF Yelahanka,BLR187S,42.2043762,53.53933333333333
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Seegehalli,BLR238S,21.86195025,25.382479166666666
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Bagalur,BLR105S,38.247597150000004,47.1443125
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Magadi Road,BLR109S,53.0176542,65.393375
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-JP Nagar Network,BLR013S,46.689087900000004,56.699416666666664
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Jakkur Network,BLR058S,36.26387625,44.7960625
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-Kothnur New,BLR257S,49.8862497,60.48475
BLR-DRY-MH-SUMADHURA,MH_CODE,BLR-RICHMOND TOWN,BLR077S,35.9004366,42.3838125
